rank,team,affiliation,country,rover,preliminary_report,video,qualification,qualified,final_report,documentation,science_exploration,science_astrobio,science_sampling,navigation_traverse,navigation_droning,maintenance,probing,presentation,mass,final_score
1,EPFL Xplore,EPFL,Switzerland,Polaris,137.25,100,237.25,1,128.65,365.9,248,280,296,190,300,206,180,284,198,2547.9
2,AGH Space Systems,AGH University of Krakow / Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Poland,Kalman,138.75,99,237.75,1,134,371.75,169,285,232,300,275,198,180,279,200,2489.75
3,DIANA,Politecnico Di Torino,Italy,FORTUNA,127,100,227,1,129,356,245,275,314,142,255,233,200,246,200,2466
4,FHNW Rover,Fachhochschule Nordwestschweiz / University of applied sciences northwestern switzerland,Switzerland,Barbara,135.5,100,235.5,1,132.5,368,229,275,288,198,185,166,200,300,178,2387
5,DJS Antariksh,Mumbai University,India,Avyaan,126.25,99,225.25,1,121,346.25,281,280,114,270,275,176,200,253,154,2349.25
6,Brno Mars Rover,Brno University of Technology,Czechia,Freya,129.75,100,229.75,1,120,349.75,277,285,293,104.5,295,70,200,205,200,2279.25
7,Project Scorpio,Wrocław University of Science and Technology / Politechnika Wrocławska,Poland,Scorpio Infinity,123.25,96,219.25,1,116,335.25,254,275,159,157.5,255,136,200,127,200,2098.75
8,SKA Robotics,"Warsaw University of Technology, Politechnika Warszawska",Poland,Sirius II,121,99,220,1,103.5,323.5,203,275,238,176,15,135,160,281,200,2006.5
9,ARES Project,"Tohoku University, Keio University, University of Tsukuba, Tokyo University of Agriculture and Technology, Tokyo University of Science, The University of British Columbia",Japan,ARES 9,139.75,100,239.75,1,123.5,363.25,259,165,157,185,15,130,200,300,200,1974.25
10,Mars Rover Manipal,Manipal Academy Of Higher Education,India,Vikrant,128.25,100,228.25,1,95,323.25,110,275,260,115,90,164,120,258,178,1893.25
11,4Space Uniovi,University of Oviedo - Universidad de Oviedo,Spain,Tras2,125.5,98,223.5,1,121.5,345,204,220,154,113.5,295,26,96,212,200,1865.5
12,CRATER,"Eidgenössische Technische Hochschule Zürich; Swiss Federal Institute of Technology, Zurich",Switzerland,TERBY,117,100,217,1,124.5,341.5,136,220,115,300,15,13,180,264,114,1698.5
13,UPC Space Program,Universitat Politècnica de Catalunya - Polythecnic University Of Catalonia,Spain,,123.5,97,220.5,1,118.5,339,158,270,148,111,15,172,60,257,147,1677
14,KNR Rover Team,Warsaw University of Technology - Politechnika Warszawska,Poland,HAL-062,132.5,99,231.5,1,123,354.5,114,260,76,178.5,75,140,60,169,200,1627
15,GTU ROVER TEAM,Gebze Technical University,Türkiye,FATIH,135.25,90,225.25,1,122.5,347.75,90,125,60,91.5,255,102,108,212,156,1547.25
16,Raptors PL,Lodz University of Technology / Politechnika Łódzka,Poland,REX 2.1,131.5,99,230.5,1,119.5,350,170,170,77,114.5,40,79,162,237,129,1528.5
17,HSM ARIES,HOCHSCHULE SCHMALKALDEN,GERMANY,LEAPONE,139.75,100,239.75,1,124.5,364.25,123,215,197,43,265,66,12,229,-22,1492.25
18,ITU Rover Team,Istanbul Technical University / İstanbul Teknik Üniversitesi,Türkiye,ITU AXA ROVER,122,100,222,1,88.5,310.5,164,145,35,182,0,105,180,105,200,1426.5
19,ASU ROAR,Ain Shams University,EGYPT,ROAR,126.5,100,226.5,1,120.5,347,145,135,158,12,15,72,96,296,139,1415
20,UCU Space Robotics,EN: Ukrainian Cathlic University / UA: Український Католицький Університет,Ukraine,Indomitus,126.75,90,216.75,1,99,315.75,94,125,10,114.5,15,0,200,260,155,1289.25
21,ProjectRED,University of Modena and Reggio Emilia - Università degli studi di Modena e Reggio Emilia,Italy,Antares,140,89,229,1,120,349,176,115,145,77.5,15,45,0,179,62,1163.5
22,PUCRA,Universitat Politècnica de Catalunya - Escola d’Enginyeria de Barcelona Est / Polytechnic University of Catalonia - Barcelona East School of Engineering,Spain,PHOENYX-II,128,91,219,1,135,354,210,90,10,45,15,54,24,161,195,1158
23,Frankfurt Robotics Science Team (FRoST),Frankfurt University of Applied Sciences,Germany,EROS,125,100,225,1,123,348,161,85,86,0,15,23,0,200,152,1070
24,STAR Dresden e.V.,TUD Dresden University of Technology,Germany,ASTEROPE,131.5,94,225.5,1,115,340.5,162,0,30,43,15,-20,0,215,155,940.5
25,[R]overTech,Politecnico of Milan/Politecnico di Milano,Italy,Kairos,128.5,95,223.5,1,113,336.5,60,120,0,0,0,0,0,235,35,786.5
